Hourly Precipitation (in),Hourly Radiation (W/m2),Temperature (C)
0.136666667,0,25.9
0.136666667,0,25.5
0.136666667,0,24.7
0.136666667,0,23.6
0.136666667,0,22.7
0.136666667,0,22
0.136666667,0,21.5
0.136666667,0,21
0.136666667,0,20.6
0.136666667,0,20.3
0.136666667,2,20.5
0.136666667,30,20.9
0.136666667,24,21.1
0.136666667,42,21.6
0.136666667,36,22.1
0.136666667,166,22.5
0.002083333,514,22.5
0.002083333,395,22.6
0.002083333,687,22.9
0.002083333,354,22.7
0.002083333,184,22
0.002083333,228,21.2
0.002083333,129,20.7
0.002083333,38,19.2
0.002083333,0,18.7
0.002083333,0,18.6
0.002083333,0,18.4
0.002083333,0,18
0.002083333,0,17.4
0.002083333,0,16.7
0.002083333,0,15.8
0.002083333,0,15
0.002083333,0,14.4
0.002083333,0,14
0.002083333,49,14.9
0.002083333,605,16.7
0.002083333,1094,18.8
0.002083333,1404,21.2
0.002083333,1632,22.9
0.002083333,1787,24
0.00125,1878,24.7
0.00125,1898,25.2
0.00125,1840,25.4
0.00125,1709,25.3
0.00125,1506,25
0.00125,1147,24.3
0.00125,877,23.9
0.00125,180,20.5
0.00125,0,19.3
0.00125,0,18.7
0.00125,0,18.3
0.00125,0,17.9
0.00125,0,17.3
0.00125,0,16.6
0.00125,0,16.1
0.00125,0,15.6
0.00125,0,15.2
0.00125,0,14.8
0.00125,38,15.4
0.00125,603,17.1
0.00125,1060,19.4
0.00125,1375,21.6
0.00125,1611,23
0.00125,1776,23.9
0,1875,24.6
0,1897,25.1
0,1842,25.2
0,1714,25.1
0,1512,24.8
0,1240,24
0,875,23.5
0,242,20.5
0,0,19.3
0,0,18.9
0,0,18.3
0,0,17.6
0,0,16.9
0,0,16.3
0,0,15.8
0,0,15.3
0,0,14.9
0,0,14.5
0,4,14.7
0,300,15.7
0,754,17.6
0,1155,19.7
0,1546,21.3
0,1464,22.4
0,1748,23
0,1765,23.5
0,1739,23.7
0,1158,23.5
0,705,22.9
0,745,21.9
0,583,21.4
0,102,19.8
0,0,19.2
0,0,18.6
0,0,18.1
0,0,17.6
0,0,17.1
0,0,16.8
0,0,16.5
0,0,16.3
0,0,16.1
0,0,15.8
0,2,15.9
0,79,16.5
0,258,17.7
0,450,19
0,442,20.5
0,576,21.8
0.00125,696,22.4
0.00125,1035,22.2
0.00125,563,21.8
0.00125,422,21.5
0.00125,250,21.2
0.00125,108,20.7
0.00125,66,20.4
0.00125,18,19.5
0.00125,0,19.1
0.00125,0,18.5
0.00125,0,17.9
0.00125,0,17.5
0.00125,0,17
0.00125,0,16.4
0.00125,0,16
0.00125,0,15.7
0.00125,0,15.5
0.00125,0,15.5
0.00125,8,16.1
0.00125,435,17.3
0.00125,120,19.1
0.00125,421,21.1
0.00125,100,22.9
0.00125,315,24.4
0,662,25.4
0,458,25.8
0,250,25.4
0,446,24.5
0,288,23.7
0,994,23.2
0,753,23
0,264,20.9
0,0,19.9
0,0,19.1
0,0,18.4
0,0,17.8
0,0,17.6
0,0,17.4
0,0,16.8
0,0,16.1
0,0,15.4
0,0,14.8
0,20,15
0,625,16.5
0,1072,18.9
0,1397,21.2
0,1635,22.7
0,1802,23.6
0,1899,24.1
0,1921,24.5
0,1870,24.5
0,1656,24.2
0,1215,23.5
0,1274,22.4
0,899,21.7
0,335,18
0,0,16.8
0,0,16.1
0,0,15.3
0,0,14.4
0,0,13.8
0,0,13.3
0,0,12.9
0,0,12.5
0,0,12.2
0,0,11.8
0,19,12.2
0,640,13.9
0,1090,16.6
0,1411,19.9
0,1648,22.2
0,1810,23.3
0.121666667,1899,24.1
0.121666667,1913,24.7
0.121666667,1856,25
0.121666667,1721,25
0.121666667,1517,24.8
0.121666667,1239,24
0.121666667,873,23.5
0.121666667,313,20.6
0.121666667,0,20.2
0.121666667,0,19.5
0.121666667,0,18.2
0.121666667,0,17.2
0.121666667,0,17
0.121666667,0,17.5
0.121666667,0,18
0.121666667,0,18.4
0.121666667,0,18.4
0.121666667,0,18.4
0.121666667,0,18.9
0.121666667,69,20.4
0.121666667,46,22.6
0.121666667,1127,24.8
0.121666667,1526,26.6
0.121666667,1711,27.8
0.009583333,1824,28.7
0.009583333,1850,29.1
0.009583333,1789,29
0.009583333,1658,28.4
0.009583333,1456,27.4
0.009583333,1185,25.8
0.009583333,637,24.8
0.009583333,184,20.4
0.009583333,0,18.8
0.009583333,0,17.9
0.009583333,0,17.3
0.009583333,0,16.9
0.009583333,0,16.6
0.009583333,0,16
0.009583333,0,15.1
0.009583333,0,14.3
0.009583333,0,13.9
0.009583333,0,13.7
0.009583333,0,13.9
0.009583333,115,14.8
0.009583333,215,16.4
0.009583333,555,18.6
0.009583333,933,20.4
0.009583333,1383,21.6
0.00125,1715,22.5
0.00125,1862,23.2
0.00125,1710,23.3
0.00125,1672,23.2
0.00125,1464,22.8
0.00125,1181,21.9
0.00125,804,21.4
0.00125,204,17.9
0.00125,0,16.8
0.00125,0,16.4
0.00125,0,16
0.00125,0,15.6
0.00125,0,15.1
0.00125,0,14.7
0.00125,0,14.5
0.00125,0,14.4
0.00125,0,14.2
0.00125,0,14
0.00125,0,14.3
0.00125,28,15.1
0.00125,70,16.4
0.00125,176,18.2
0.00125,359,19.6
0.00125,288,20.8
0,202,21.8
0,301,22.6
0,311,23
0,562,23
0,682,22.7
0,150,21.8
0,695,21.2
0,128,21.6
0,0,20.1
0,0,18.8
0,0,17.6
0,0,16.6
0,0,15.8
0,0,15.1
0,0,14.5
0,0,13.7
0,0,12.9
0,0,12.1
0,0,12
0,425,13.5
0,909,16.2
0,1270,19.2
0,1539,21.7
0,1723,23.6
0,1826,25
0,1545,26
0,1749,26.5
0,1595,26.5
0,1358,26
0,1036,24.7
0,614,23.8
0,28,19.9
0,0,19
0,0,18.4
0,0,17.5
0,0,16.7
0,0,15.9
0,0,15.3
0,0,14.9
0,0,14.5
0,0,14.3
0,0,14.2
0,0,14.6
0,295,16
0,748,18.9
0,807,22.4
0,767,25.4
0,1199,27.6
0.059166667,1652,29.1
0.059166667,1452,30.1
0.059166667,1269,30.4
0.059166667,964,30.2
0.059166667,899,29.6
0.059166667,856,28.3
0.059166667,462,27.5
0.059166667,62,22.9
0.059166667,0,20.8
0.059166667,0,19.3
0.059166667,0,18.2
0.059166667,0,17.3
0.059166667,0,16.6
0.059166667,0,16
0.059166667,0,15.5
0.059166667,0,15.2
0.059166667,0,15
0.059166667,0,14.9
0.059166667,0,15.5
0.059166667,436,17.8
0.059166667,906,20.9
0.059166667,1251,24.7
0.059166667,1508,27.9
0.059166667,1687,29.6
0,1605,30.8
0,1623,31.7
0,1683,32.2
0,1217,32.2
0,1249,31.6
0,899,30
0,473,28.8
0,48,25
0,0,23.9
0,0,23
0,0,22.1
0,0,21.5
0,0,21.1
0,0,20.9
0,0,20.8
0,0,20.6
0,0,20.3
0,0,19.7
0,0,19.4
0,198,19.9
0,625,21.6
0,712,23.8
0,1113,25.6
0,1141,26.7
0,1238,26.7
0,1235,25.6
0,1097,24.6
0,1008,24
0,352,23.6
0,452,22.7
0,266,22.1
0,21,19.9
0,0,19.4
0,0,18.7
0,0,17.7
0,0,16.4
0,0,15.1
0,0,14
0,0,13.1
0,0,12.5
0,0,11.9
0,0,11.4
0,0,11.5
0,499,12.9
0,968,15.8
0,1315,18.4
0,1574,19.9
0,1755,20.9
0,1859,21.7
0,1887,22.2
0,1832,22.3
0,1700,22.1
0,1483,21.4
0,691,20.4
0,433,19.7
0,177,15.9
0,0,14.1
0,0,13.1
0,0,12.3
0,0,11.6
0,0,11.1
0,0,10.6
0,0,10.3
0,0,9.9
0,0,9.4
0,0,8.7
0,0,8.9
0,592,10.6
0,1057,13.8
0,1381,17
0,1617,19
0,1784,20.3
0,1526,21.4
0,815,22
0,908,22.3
0,1123,22.2
0,737,21.7
0,960,20.6
0,363,19.9
0,8,15.6
0,0,14.5
0,0,14.2
0,0,14
0,0,13.8
0,0,13.1
0,0,11.8
0,0,10.5
0,0,9.7
0,0,9.2
0,0,8.7
0,0,9.2
0,569,11.1
0,1034,14.3
0,1355,18.1
0,1590,21
0,1757,22.8
0,1842,24.2
0,1858,25.2
0,1792,25.9
0,1655,26
0,1435,25.6
0,1142,24.4
0,743,23.4
0,0,18.6
0,0,17.2
0,0,16.2
0,0,15.5
0,0,15.2
0,0,14.9
0,0,14.4
0,0,13.8
0,0,13.2
0,0,12.6
0,0,12
0,0,12.3
0,522,14.1
0,998,17
0,1331,21.2
0,1573,25.5
0,1738,28.4
0,1831,29.8
0,1843,30.7
0,1775,31.1
0,1631,31.1
0,1409,30.6
0,1103,29
0,686,27.9
0,0,22.6
0,0,21.5
0,0,20.6
0,0,19.5
0,0,18.5
0,0,17.7
0,0,17.1
0,0,16.6
0,0,16.1
0,0,15.6
0,0,15
0,0,14.8
0,87,15.8
0,543,18.2
0,1212,21.5
0,1478,24.9
0,1655,27.9
0,1531,30
0,1748,31.2
0,1675,31.8
0,1509,31.7
0,1012,30.9
0,800,29.1
0,423,27.9
0,0,24.8
0,0,24
0,0,23.1
0,0,22
0,0,21
0,0,20.1
0,0,19.4
0,0,18.8
0,0,18.2
0,0,17.7
0,0,17.4
0,0,17.4
0,224,17.9
0,692,19.1
0,1080,21
0,1368,23.4
0,1567,26
0,1682,27.9
0,1718,29.2
0,1661,29.9
0,1219,29.8
0,1122,29.2
0,932,27.8
0,462,26.8
0,0,22.5
0,0,21.4
0,0,20.2
0,0,19.1
0,0,18.1
0,0,17.2
0,0,16.5
0,0,15.8
0,0,15.1
0,0,14.4
0,0,13.8
0,0,13.9
0,351,15.2
0,843,18
0,1206,22.2
0,1450,25.8
0,1634,27.8
0.079583333,1735,29.1
0.079583333,1746,29.9
0.079583333,1681,30.2
0.079583333,1536,30.1
0.079583333,1317,29.5
0.079583333,1006,28
0.079583333,573,27
0.079583333,0,22.4
0.079583333,0,20.8
0.079583333,0,19.6
0.079583333,0,18.7
0.079583333,0,18.1
0.079583333,0,17.9
0.079583333,0,17.8
0.079583333,0,17.6
0.079583333,0,17.2
0.079583333,0,16.6
0.079583333,0,16
0.079583333,0,15.9
0.079583333,386,17.3
0.079583333,889,20.2
0.079583333,1238,23.9
0.079583333,1492,26.9
0.079583333,1663,28.6
0,1524,29.8
0,1743,30.7
0,1668,31.2
0,1296,31.2
0,1035,30.6
0,925,28.9
0,338,27.7
0,0,23.1
0,0,21.8
0,0,20.8
0,0,19.9
0,0,19.1
0,0,18.4
0,0,17.8
0,0,17.3
0,0,17
0,0,16.9
0,0,17
0,0,17.1
0,322,18.1
0,815,20.8
0,1174,24.4
0,1383,27.3
0,1565,29.1
0,1661,30.6
0,1694,31.7
0,1619,32.3
0,1464,32.4
0,1207,31.8
0,882,30.3
0,447,29.2
0,0,25
0,0,23.2
0,0,21.8
0,0,20.9
0,0,20.2
0,0,19.5
0,0,18.8
0,0,18.2
0,0,17.6
0,0,17.1
0,0,16.8
0,0,17.2
0,118,18.8
0,745,21.5
0,1109,25.3
0,1382,28.8
0,1576,31
0,1680,32.5
0,1694,33.6
0,1620,34.1
0,1464,34
0,1226,33.3
0,899,31.5
0,460,30.3
0,0,25.9
0,0,24.8
0,0,23.7
0,0,22.8
0,0,22.1
0,0,21.7
0,0,21.5
0,0,21.3
0,0,20.8
0,0,20.2
0,0,19.6
0,0,19.4
0,115,20.4
0,503,22.6
0,742,26.3
0,383,30
0,1225,32.4
0,1250,34
0,1711,34.9
0,1466,35
0,1486,34.6
0,1259,33.7
0,897,32.2
0,225,31.3
0,0,27.6
0,0,26.2
0,0,25.3
0,0,24.6
0,0,23.9
0,0,23.2
0,0,22.5
0,0,21.9
0,0,21.4
0,0,21.1
0,0,20.8
0,0,20.9
0,52,21.7
0,250,24
0,44,27.1
0,146,29.5
0,206,31
0,881,31.6
0,1361,31.6
0,1209,31
0,30,30.5
0,341,30
0,42,29.2
0,187,28.5
0,0,25.8
0,0,24.5
0,0,22.8
0,0,20.9
0,0,19
0,0,17.2
0,0,15.8
0,0,14.8
0,0,14.3
0,0,13.9
0,0,13.3
0,0,12.8
0,213,13.1
0,494,14.5
0,975,16.6
0,1079,18.8
0,1348,20.7
0.031666667,1458,22.2
0.031666667,1413,23.3
0.031666667,1719,24
0.031666667,1560,24.3
0.031666667,1330,23.9
0.031666667,1014,22.7
0.031666667,552,21.8
0.031666667,0,17.7
0.031666667,0,17.1
0.031666667,0,16.4
0.031666667,0,15.5
0.031666667,0,14.8
0.031666667,0,14.3
0.031666667,0,13.8
0.031666667,0,13.5
0.031666667,0,13.2
0.031666667,0,12.9
0.031666667,0,12.8
0.031666667,0,12.7
0.031666667,44,13.5
0.031666667,303,15.8
0.031666667,718,18.5
0.031666667,464,20.4
0.031666667,911,21.6
0.13125,1050,22.7
0.13125,973,23.5
0.13125,282,23.8
0.13125,302,23.2
0.13125,296,22.3
0.13125,124,21.3
0.13125,309,20.8
0.13125,0,19.2
0.13125,0,18.6
0.13125,0,18.2
0.13125,0,17.9
0.13125,0,17.7
0.13125,0,17.5
0.13125,0,17.3
0.13125,0,17.3
0.13125,0,17.2
0.13125,0,17.2
0.13125,0,17.2
0.13125,0,17.5
0.13125,269,18.3
0.13125,789,20
0.13125,1152,22.2
0.13125,606,24.8
0.13125,1124,27.1
0,1695,28.7
0,1274,29.6
0,1648,30
0,900,30.1
0,793,29.7
0,950,28.6
0,476,27.8
0,0,25.1
0,0,24
0,0,23.2
0,0,22.8
0,0,22.4
0,0,22
0,0,21.7
0,0,21.4
0,0,21.1
0,0,20.9
0,0,20.6
0,0,20.7
0,287,22
0,802,24.5
0,1152,27.1
0,1394,28.8
0,1001,30
0,1094,30.9
0,573,31.3
0,1155,31.2
0,576,30.7
0,182,29.6
0,850,28
0,86,27
0,0,23.7
0,0,22.3
0,0,21.3
0,0,20.4
0,0,19.7
0,0,19.1
0,0,18.6
0,0,18.2
0,0,17.9
0,0,17.9
0,0,18
0,0,18.3
0,26,19.3
0,118,21.8
0,976,24.9
0,949,27.4
0,879,28.6
0.00125,956,29.1
0.00125,1682,29.4
0.00125,1603,29.4
0.00125,1440,29.3
0.00125,1207,29
0.00125,887,28.4
0.00125,420,28
0.00125,0,26.6
0.00125,0,26
0.00125,0,25.6
0.00125,0,25.1
0.00125,0,24.5
0.00125,0,24.3
0.00125,0,24.1
0.00125,0,23.9
0.00125,0,23.7
0.00125,0,23.3
0.00125,0,23
0.00125,0,22.8
0.00125,305,23.1
0.00125,833,24.3
0.00125,1185,26.1
0.00125,1434,28
0.00125,1607,29.6
0.004166667,1696,30.9
0.004166667,1712,31.9
0.004166667,1641,32.4
0.004166667,1493,32.5
0.004166667,1265,32.1
0.004166667,950,31
0.004166667,484,30.2
0.004166667,0,27.5
0.004166667,0,26.6
0.004166667,0,25.8
0.004166667,0,25.1
0.004166667,0,24.2
0.004166667,0,23.3
0.004166667,0,22.6
0.004166667,0,22.1
0.004166667,0,21.9
0.004166667,0,21.5
0.004166667,0,21
0.004166667,0,20.9
0.004166667,338,21.8
0.004166667,856,24.2
0.004166667,1013,27.7
0.004166667,1441,30.7
0.004166667,1605,32
0.002083333,1698,32.8
0.002083333,1709,33.3
0.002083333,1640,33.5
0.002083333,1496,33.2
0.002083333,1275,32.5
0.002083333,958,31
0.002083333,483,29.9
0.002083333,0,26.3
0.002083333,0,25.5
0.002083333,0,24.8
0.002083333,0,24
0.002083333,0,23.2
0.002083333,0,22.6
0.002083333,0,22.1
0.002083333,0,21.6
0.002083333,0,21
0.002083333,0,20.5
0.002083333,0,20.1
0.002083333,0,19.9
0.002083333,280,20.9
0.002083333,809,23.2
0.002083333,1162,26.7
0.002083333,1410,29.8
0.002083333,1577,31.6
0.023333333,1665,32.5
0.023333333,1660,33
0.023333333,1332,33
0.023333333,1045,32.7
0.023333333,1209,32
0.023333333,882,30.4
0.023333333,397,29.2
0.023333333,0,25.7
0.023333333,0,24.9
0.023333333,0,24.2
0.023333333,0,23.4
0.023333333,0,22.7
0.023333333,0,21.9
0.023333333,0,21.1
0.023333333,0,20.4
0.023333333,0,19.8
0.023333333,0,19.5
0.023333333,0,19.5
0.023333333,0,19.7
0.023333333,46,20.6
0.023333333,687,22.3
0.023333333,1073,24.4
0.023333333,1349,26.8
0.023333333,1530,28.7
0,1621,29.7
0,1285,29.9
0,985,29.6
0,996,29
0,467,27.9
0,86,26.4
0,48,25.4
0,0,23.3
0,0,22.5
0,0,21.8
0,0,21.2
0,0,20.7
0,0,20.2
0,0,19.8
0,0,19.4
0,0,19
0,0,18.6
0,0,18.1
0,0,17.5
0,18,17.1
0,26,17.2
0,279,17.7
0,483,18.6
0,521,20
0,593,21.5
0,422,22.4
0,550,22.6
0,527,22.2
0,540,21.2
0,174,19.9
0,100,19.2
0,0,17.1
0,0,16.4
0,0,15.8
0,0,15.2
0,0,14.8
0,0,14.5
0,0,14.1
0,0,13.7
0,0,12.9
0,0,11.9
0,0,11.1
0,0,10.7
0,50,11.8
0,314,14.2
0,728,16.4
0,962,18
0,1090,19.3
0,1208,20.5
0,1237,21.6
0,1223,22.3
0,917,22.5
0,844,22
0,677,20.4
0,156,19.1
0,0,16
0,0,15.5
0,0,15
0,0,14.2
0,0,13.5
0,0,12.8
0,0,12.2
0,0,11.7
0,0,11.3
0,0,11.1
0,0,10.9
0,0,10.8
0,343,11.9
0,905,14.6
0,1256,18.1
0,1502,21.4
0,1665,23.3
0,1755,24.4
0,1763,25.2
0,1690,25.6
0,1543,25.6
0,1313,25.1
0,991,23.2
0,481,21.8
0,0,18.3
0,0,17
0,0,16.1
0,0,15.4
0,0,14.8
0,0,14.3
0,0,13.8
0,0,13.2
0,0,12.5
0,0,11.9
0,0,11.4
0,0,11
0,339,11.9
0,901,14.4
0,1251,17.7
0,1496,20.4
0,1662,21.9
0,1748,23
0,1761,23.6
0,1688,23.8
0,1541,23.5
0,1299,22.8
0,973,20.9
0,450,19.5
0,0,15.6
0,0,14.7
0,0,14.1
0,0,13.5
0,0,12.8
0,0,12
0,0,11.2
0,0,10.6
0,0,10.1
0,0,9.7
0,0,9.4
0,0,9.3
0,80,10
0,489,12.4
0,851,15.8
0,685,18.7
0,1628,20.6
0,1253,21.9